挨着	挨著	āi zhe	near;  	[sound:cmn-挨着.mp3]
定位	定位	dìng wèi	to orientate; to position; to categorize (as); to characterize (as); positioning; position; niche;  	[sound:cmn-定位.mp3]
动画	動畫	dòng huà	animation; cartoon;  	[sound:cmn-动画.mp3]
斗争	鬥爭	doù zhēng	a struggle; fight; battle;  	[sound:cmn-斗争.mp3]
都市	都市	dū shì	city; metropolis;  	[sound:cmn-都市.mp3]
毒品	毒品	dú pǐn	drugs; narcotics; poison;  	[sound:cmn-毒品.mp3]
赌	賭	dǔ	to bet; to gamble;  	[sound:cmn-赌.mp3]
赌博	賭博	dǔ bó	to gamble;  	[sound:cmn-赌博.mp3]
渡	渡	dù	to cross; to pass through; to ferry;  	[sound:cmn-渡.mp3]
端	端	duān, duān	old variant of 端[duan1]; start; origin;  	[sound:cmn-端.mp3]
端午节	端午節	Duān wǔ jié	Dragon Boat Festival (5th day of the 5th lunar month);  	[sound:cmn-端午节.mp3]
短片	短片	duǎn piàn	short film; video clip;  	[sound:cmn-短片.mp3]
队伍	隊伍	duì wǔ	ranks; troops; queue; line; procession; CL:個|个[ge4],支[zhi1],條|条[tiao2];  	[sound:cmn-队伍.mp3]
对抗	對抗	duì kàng	to withstand; to resist; to stand off; antagonism; confrontation;  	[sound:cmn-对抗.mp3]
对外	對外	duì wài	external; foreign; pertaining to external or foreign (affairs);  	[sound:cmn-对外.mp3]
蹲	蹲	dūn	to crouch; to squat; to stay (somewhere);  	[sound:cmn-蹲.mp3]
多半	多半	duō bàn	most; mostly; most likely;  	[sound:cmn-多半.mp3]
多方面	多方麵	duō fāng miàn	many-sided; in many aspects;  	[sound:cmn-多方面.mp3]
多媒体	多媒體	duō méi tǐ	multimedia;  	[sound:cmn-多媒体.mp3]
夺	奪	duó	to seize; to take away forcibly; to wrest control of; to compete or strive for; to force one's way through; to leave out; to lose;  	[sound:cmn-夺.mp3]
夺取	奪取	duó qǔ	to seize; to capture; to wrest control of;  	[sound:cmn-夺取.mp3]
恩人	恩人	ēn rén	a benefactor; a person who has significantly helped sb else;  	[sound:cmn-恩人.mp3]
儿科	兒科	ér kē	pediatrics;  	[sound:cmn-儿科.mp3]
发病	發病	fā bìng	onset; outbreak (of a disease);  	[sound:cmn-发病.mp3]
发电	發電	fā diàn	to generate electricity; to send a telegram;  	[sound:cmn-发电.mp3]
发放	發放	fā fàng	to provide; to give; to grant;  	[sound:cmn-发放.mp3]
发怒	發怒	fā nù	to get angry;  	[sound:cmn-发怒.mp3]
发起	發起	fā qǐ	to originate; to initiate; to launch (an attack, an initiative etc); to start; to propose sth (for the first time);  	[sound:cmn-发起.mp3]
发言人	發言人	fā yán rén	spokesperson;  	[sound:cmn-发言人.mp3]
发炎	發炎	fā yán	to become inflamed; inflammation;  	[sound:cmn-发炎.mp3]
法庭	法庭	fǎ tíng	court of law;  	[sound:cmn-法庭.mp3]
法语	法語	Fǎ yǔ	French (language);  	[sound:cmn-法语.mp3]
番	番	Pān, fān	surname Pan;  foreign (non-Chinese); barbarian; classifier for occurrences (of an event, action or speech utterance); classifier for iterations: times, -fold (as in twofold etc); classifier for situations: kind, sort;  	[sound:cmn-番.mp3]
番茄	番茄	fān qié	tomato;  	[sound:cmn-番茄.mp3]
凡是	凡是	fán shì	each and every; every; all; any;  	[sound:cmn-凡是.mp3]
繁殖	繁殖	fán zhí	to breed; to reproduce; to propagate;  	[sound:cmn-繁殖.mp3]
反抗	反抗	fǎn kàng	to resist; to rebel;  	[sound:cmn-反抗.mp3]
反问	反問	fǎn wèn	to ask (a question) in reply; to answer a question with a question; rhetorical question;  	[sound:cmn-反问.mp3]
反响	反響	fǎn xiǎng	repercussions; reaction; echo;  	[sound:cmn-反响.mp3]
犯	犯	fàn	to violate; to offend; to assault; criminal; crime; to make a mistake; recurrence (of mistake or sth bad);  	[sound:cmn-犯.mp3]
犯规	犯規	fàn guī	to break the rules; an illegality; a foul;  	[sound:cmn-犯规.mp3]
犯罪	犯罪	fàn zuì	to commit a crime; crime; offense;  	[sound:cmn-犯罪.mp3]
防范	防範	fáng fàn	to be on guard; wariness; to guard against; preventive;  	[sound:cmn-防范.mp3]
防守	防守	fáng shoǔ	to defend; to protect (against);  	[sound:cmn-防守.mp3]
房价	房價	fáng jià	house price; cost of housing;  	[sound:cmn-房价.mp3]
仿佛	仿佛	fǎng fú, fǎng fú	to seem; as if; alike; similar;  	[sound:cmn-仿佛.mp3]
飞船	飛船	fēi chuán	airship; spaceship;  	[sound:cmn-飞船.mp3]
飞行员	飛行員	fēi xíng yuán	pilot; aviator;  	[sound:cmn-飞行员.mp3]
肺	肺	fèi	lung; CL:個|个[ge4];  	[sound:cmn-肺.mp3]
分工	分工	fēn gōng	to divide up the work; division of labor;  	[sound:cmn-分工.mp3]
分裂	分裂	fēn liè	to split up; to divide; to break up; fission; schism;  	[sound:cmn-分裂.mp3]
愤怒	憤怒	fèn nù	angry; indignant; wrath; ire;  	[sound:cmn-愤怒.mp3]
